credit,debit,date,l,s,d
26,96,1583-02-05,33,12,11
2,26,1583-03-12,33,12,11
26,2,1583-04-28,173,3,2
26,2,1583-10-04,421,10,0
26,2,1583-12-05,278,0,2
26,2,1584-09-07,78,2,8
26,2,1584-01-14,234,7,6
26,2,1583-05-14,15,16,8
26,2,1583-07-29,32,8,4
26,2,1583-09-06,16,1,8
26,156,1583-04-01,287,5,10
26,2,1583-09-19,158,2,6
26,2,1583-11-10,163,6,8
26,2,1583-11-18,238,15,0
26,2,1582-12-20,246,17,6
26,2,1583-01-04,164,3,4
26,2,1583-12-26,262,9,0
26,2,1583-12-14,116,12,0
26,2,1584-01-04,79,7,6
26,2,1584-01-22,77,18,4
26,2,1584-01-04,158,10,10
26,2,1584-01-04,158,15,0
26,2,1584-04-21,157,10,0
2,32,1583-06-28,6,10,8
55,32,1583-06-29,2,5,5
87,167,1584-03-27,6,11,8
164,70,1583-01-15,8,13,4
165,70,1583-08-25,53,7,11
123,89,1583-01-31,52,3,4
89,123,1584-01-07,52,3,4
123,90,1583-01-31,36,19,3
2,90,1584-01-07,100,0,0
90,123,1584-01-07,139,14,3
123,91,1583-01-31,35,9,2
2,91,1584-01-07,100,0,0
91,123,1584-01-07,135,9,2
123,92,1583-01-31,38,15,8
2,92,1584-01-07,100,0,0
92,123,1584-01-07,38,15,8
92,123,1584-03-22,100,0,0
123,77,1583-01-21,34,1,5
2,77,1584-01-07,100,0,0
77,123,1584-01-07,134,1,5
123,93,1583-01-21,38,3,8
2,93,1584-01-07,100,0,0
93,123,1584-01-07,138,3,8
123,94,1583-01-21,38,9,3
2,94,1584-01-07,100,0,0
94,123,1584-01-07,138,9,3
123,95,1583-01-21,37,11,2
2,95,1584-01-07,100,0,0
95,123,1584-01-07,137,11,2
123,89,1583-01-31,11,11,5
78,89,1583-01-31,2,3,4
35,89,1583-01-31,32,3,0
17,89,1583-01-31,37,16,6.5
53,89,1583-01-31,56,11,8
